sr_no,name,price,24hr_volume,market_cap
101,Bitkub Coin,$13.70,"$50,944,703","$1,217,013,430"
102,SafeMoon [OLD],$0.000002156580,"$470,048","$1,213,641,262"
104,DeFi Kingdoms,$19.81,"$80,564,129","$1,192,105,858"
103,yearn.finance,"$33,301.69","$256,879,964","$1,190,165,231"
105,Holo,$0.006533459060,"$87,347,933","$1,161,349,212"
106,XDC Network,$0.090067416674,"$8,259,030","$1,103,088,501"
107,1inch,$2.46,"$170,255,534","$1,086,313,736"
108,NEM,$0.118853,"$16,806,046","$1,070,728,967"
109,Synthetix Network Token,$5.35,"$48,175,372","$1,067,020,702"
110,GateToken,$6.78,"$5,515,635","$1,066,294,806"
111,Pax Dollar,$0.999934,"$25,456,896","$1,049,816,753"
112,Ravencoin,$0.099801528347,"$99,638,623","$1,045,612,780"
113,Secret,$6.59,"$16,298,770","$1,039,069,984"
114,IoTeX,$0.106407,"$29,065,339","$1,011,260,369"
115,Marinade staked SOL,$153.50,"$34,654,833","$1,001,546,952"
116,Livepeer,$38.14,"$24,377,465","$943,471,804"
117,e-Radix,$0.234579,"$1,870,305","$930,387,361"
118,Zilliqa,$0.065865704552,"$64,055,229","$910,441,790"
119,WOO Network,$1.02,"$32,479,819","$898,591,427"
120,OMG Network,$6.08,"$407,549,920","$851,299,478"
122,cUSDT,$0.021666375073,"$18,642,647","$849,175,252"
121,LINK,$141.39,"$3,171,089","$844,956,365"
123,Decred,$61.57,"$3,539,491","$842,973,003"
124,Bancor Network Token,$3.26,"$36,086,686","$837,023,594"
125,Velas,$0.366347,"$14,504,286","$824,256,577"
127,Convex CRV,$4.70,"$572,895","$824,064,774"
126,Qtum,$7.87,"$104,967,026","$819,664,927"
128,renBTC,"$45,308.43","$838,351","$810,142,293"
133,Decentralized Social,$75.09,"$2,379,282","$795,275,805"
129,APENFT,$0.000002856116,"$385,790,083","$792,815,526"
130,WAX,$0.414853,"$42,343,252","$791,316,341"
131,Ankr,$0.096421578325,"$39,652,908","$788,745,834"
132,Liquity USD,$0.998284,"$31,490,266","$787,875,892"
134,Audius,$1.51,"$13,054,564","$780,199,300"
135,Nexus Mutual,$111.62,"$52,659.92","$770,615,397"
136,Dogelon Mars,$0.000001383069,"$22,079,113","$770,073,063"
137,Gnosis,$407.55,"$2,465,068","$760,892,011"
138,Tomb Shares,"$18,896.05","$24,537,692","$739,874,260"
139,Fei USD,$1.00,"$34,611,597","$738,318,855"
140,Kava,$4.91,"$98,410,362","$722,189,738"
141,ICON,$1.04,"$27,760,966","$719,644,433"
142,OEC Token,$49.08,"$3,124,272","$712,261,934"
143,Horizen,$58.93,"$38,661,250","$704,845,761"
144,Siacoin,$0.014009068922,"$19,955,467","$701,253,978"
145,IOST,$0.030200662168,"$48,820,337","$694,672,826"
147,Immutable X,$3.65,"$58,278,080","$689,820,301"
146,Syscoin,$1.09,"$38,330,426","$689,636,385"
148,Flux,$3.00,"$54,101,765","$673,088,326"
149,Rally,$0.290497,"$4,600,503","$657,394,875"
150,Baby Doge Coin,$0.000000003999,"$26,818,045","$657,341,330"
151,Telcoin,$0.010888739656,"$8,224,511","$654,267,089"
152,Bitcoin Gold,$37.22,"$11,079,851","$652,778,296"
153,Moonbeam,$8.63,"$252,092,476","$648,252,155"
154,0x,$0.745673,"$37,730,430","$632,914,010"
155,Ethereum Name Service,$27.46,"$70,203,863","$618,859,970"
156,Rocket Pool,$37.67,"$904,040","$610,407,481"
157,Nervos Network,$0.020757772601,"$13,136,514","$610,400,468"
158,Perpetual Protocol,$9.49,"$13,213,675","$603,832,034"
160,Metahero,$0.113041,"$8,254,464","$579,658,723"
159,Render Token,$3.73,"$37,899,525","$579,291,238"
161,UMA,$8.88,"$26,265,423","$577,826,569"
162,dYdX,$7.74,"$183,765,891","$574,298,591"
163,JUNO,$14.85,"$7,483,074","$567,041,891"
164,Anchor Protocol,$2.76,"$16,734,267","$566,863,271"
